case,frame,t_s,z_min_m,z_max_m,z_center_m,meshrelax_min
N25_L040_cu_closed,t0001,0.001,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N25_L040_cu_closed,t0030,0.03,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N25_L040_cu_closed,t0060,0.06,0.013205505465099993,0.0770125161064,0.04510901078575,-5.015514428743962e-28
N25_L040_cu_closed,t0150,0.15,-0.017175092643600023,0.0770125161064,0.02991871173139999,-5.015514428743962e-28
N25_L040_cu_closed,t0300,0.3,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N25_L040_cu_closed,t0450,0.45,-0.01244648189250002,0.0770125161064,0.03228301710694999,-5.015514428743962e-28
N25_L040_cu_closed,t0600,0.6,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N25_L040_cu_closed,t0750,0.75,-0.008725842940300016,0.0770125161064,0.034143336583049994,-5.015514428743962e-28
N25_L040_cu_closed,t0900,0.9,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N50_L040_cu_closed,t0001,0.001,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N50_L040_cu_closed,t0030,0.03,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N50_L040_cu_closed,t0060,0.06,0.013205505465099993,0.0770125161064,0.04510901078575,-5.015514428743962e-28
N50_L040_cu_closed,t0150,0.15,-0.017175092643600023,0.0770125161064,0.02991871173139999,-5.015514428743962e-28
N50_L040_cu_closed,t0300,0.3,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N50_L040_cu_closed,t0450,0.45,-0.01244648189250002,0.0770125161064,0.03228301710694999,-5.015514428743962e-28
N50_L040_cu_closed,t0600,0.6,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N50_L040_cu_closed,t0750,0.75,-0.008725842940300016,0.0770125161064,0.034143336583049994,-5.015514428743962e-28
N50_L040_cu_closed,t0900,0.9,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
N100_L040_cu_closed,t0001,0.001,0.0137476598194,0.0770125161064,0.0453800879629,-5.015514428743962e-28
