time_s z_m[FEM] v_m_per_s[FEM-diff] a_m_per_s2[FEM-diff] i_coil_A[FEM] emf_V[FEM]
1.000000e-03 4.605844e-02 -1.384023e-02 -4.601015e+00 0.000000e+00 0.000000e+00
2.000000e-03 4.604460e-02 -1.844125e-02 -6.895313e+00 8.971707e-07 -8.836371e-06
3.000000e-03 4.602156e-02 -2.763086e-02 -9.176192e+00 1.346535e-03 -1.326223e-02
4.000000e-03 4.598934e-02 -3.679363e-02 -9.147361e+00 2.313611e-03 -2.278711e-02
5.000000e-03 4.594797e-02 -4.592558e-02 -9.114553e+00 3.007313e-03 -2.961949e-02
6.000000e-03 4.589749e-02 -5.502273e-02 -9.077791e+00 3.503330e-03 -3.450483e-02
7.000000e-03 4.583793e-02 -6.408116e-02 -9.037098e+00 3.856138e-03 -3.797969e-02
8.000000e-03 4.576933e-02 -7.309693e-02 -8.992496e+00 4.104950e-03 -4.043028e-02
9.000000e-03 4.569174e-02 -8.206615e-02 -8.944012e+00 4.278001e-03 -4.213468e-02
1.000000e-02 4.560520e-02 -9.098495e-02 -8.891674e+00 4.395620e-03 -4.329314e-02
1.100000e-02 4.550977e-02 -9.984950e-02 -8.835510e+00 4.472452e-03 -4.404987e-02
1.200000e-02 4.540550e-02 -1.086560e-01 -8.775551e+00 4.519043e-03 -4.450875e-02
1.300000e-02 4.529245e-02 -1.174006e-01 -8.711831e+00 4.542989e-03 -4.474459e-02
1.400000e-02 4.517070e-02 -1.260796e-01 -8.644382e+00 4.549755e-03 -4.481123e-02
1.500000e-02 4.504029e-02 -1.346894e-01 -8.573242e+00 4.543271e-03 -4.474738e-02
1.600000e-02 4.490132e-02 -1.432261e-01 -8.498445e+00 4.526351e-03 -4.458072e-02
1.700000e-02 4.475384e-02 -1.516863e-01 -8.420031e+00 4.500994e-03 -4.433098e-02
1.800000e-02 4.459795e-02 -1.600662e-01 -8.338042e+00 4.468605e-03 -4.401197e-02
1.900000e-02 4.443371e-02 -1.683623e-01 -8.252518e+00 4.430138e-03 -4.363311e-02
2.000000e-02 4.426122e-02 -1.765712e-01 -8.163503e+00 4.386205e-03 -4.320041e-02
2.100000e-02 4.408057e-02 -1.846893e-01 -8.071041e+00 4.337142e-03 -4.271718e-02
2.200000e-02 4.389184e-02 -1.927133e-01 -7.975178e+00 4.283049e-03 -4.218440e-02
2.300000e-02 4.369514e-02 -2.006397e-01 -7.875963e+00 4.223803e-03 -4.160088e-02
2.400000e-02 4.349056e-02 -2.084652e-01 -7.773444e+00 4.159061e-03 -4.096323e-02
2.500000e-02 4.327821e-02 -2.161866e-01 -7.667670e+00 4.083181e-03 -4.021588e-02
2.600000e-02 4.305819e-02 -2.238006e-01 -7.558696e+00 4.001440e-03 -3.941080e-02
2.700000e-02 4.283061e-02 -2.313040e-01 -7.446573e+00 3.907064e-03 -3.848127e-02
2.800000e-02 4.259558e-02 -2.386937e-01 -7.331354e+00 3.849030e-03 -3.790968e-02
2.900000e-02 4.235322e-02 -2.459667e-01 -7.213097e+00 3.761245e-03 -3.704508e-02
3.000000e-02 4.210365e-02 -2.531199e-01 -7.091859e+00 3.635707e-03 -3.580863e-02
3.100000e-02 4.184698e-02 -2.601504e-01 -6.967696e+00 3.477952e-03 -3.425489e-02
3.200000e-02 4.158335e-02 -2.670553e-01 -6.840668e+00 3.072242e-03 -3.025899e-02
