time_s z_m[FEM] v_m_per_s[FEM-diff] a_m_per_s2[FEM-diff] i_coil_A[FEM] emf_V[FEM]
1.000000e-03 4.605844e-02 -1.384023e-02 -4.601015e+00 0.000000e+00 0.000000e+00
2.000000e-03 4.604460e-02 -1.844125e-02 -6.895313e+00 4.486151e-07 -4.255679e-06
3.000000e-03 4.602156e-02 -2.763086e-02 -9.176192e+00 6.733123e-04 -6.387214e-03
4.000000e-03 4.598934e-02 -3.679363e-02 -9.147361e+00 1.156915e-03 -1.097479e-02
5.000000e-03 4.594797e-02 -4.592558e-02 -9.114553e+00 1.503835e-03 -1.426577e-02
6.000000e-03 4.589749e-02 -5.502273e-02 -9.077791e+00 1.751910e-03 -1.661907e-02
7.000000e-03 4.583793e-02 -6.408116e-02 -9.037098e+00 1.928373e-03 -1.829304e-02
8.000000e-03 4.576933e-02 -7.309693e-02 -8.992496e+00 2.052830e-03 -1.947368e-02
9.000000e-03 4.569174e-02 -8.206615e-02 -8.944012e+00 2.139398e-03 -2.029488e-02
1.000000e-02 4.560520e-02 -9.098495e-02 -8.891674e+00 2.198242e-03 -2.085309e-02
1.100000e-02 4.550977e-02 -9.984950e-02 -8.835510e+00 2.236685e-03 -2.121778e-02
1.200000e-02 4.540550e-02 -1.086560e-01 -8.775551e+00 2.260002e-03 -2.143896e-02
1.300000e-02 4.529245e-02 -1.174006e-01 -8.711831e+00 2.271990e-03 -2.155269e-02
1.400000e-02 4.517070e-02 -1.260796e-01 -8.644382e+00 2.275385e-03 -2.158489e-02
1.500000e-02 4.504029e-02 -1.346894e-01 -8.573242e+00 2.272151e-03 -2.155421e-02
1.600000e-02 4.490132e-02 -1.432261e-01 -8.498445e+00 2.263696e-03 -2.147401e-02
1.700000e-02 4.475384e-02 -1.516863e-01 -8.420031e+00 2.251021e-03 -2.135376e-02
1.800000e-02 4.459795e-02 -1.600662e-01 -8.338042e+00 2.234826e-03 -2.120014e-02
1.900000e-02 4.443371e-02 -1.683623e-01 -8.252518e+00 2.215592e-03 -2.101768e-02
2.000000e-02 4.426122e-02 -1.765712e-01 -8.163503e+00 2.193623e-03 -2.080928e-02
2.100000e-02 4.408057e-02 -1.846893e-01 -8.071041e+00 2.169088e-03 -2.057653e-02
2.200000e-02 4.389184e-02 -1.927133e-01 -7.975178e+00 2.142037e-03 -2.031992e-02
2.300000e-02 4.369514e-02 -2.006397e-01 -7.875963e+00 2.112409e-03 -2.003886e-02
