frame,t_s,z_mean_m,z_min_m,z_max_m,z_std_m,n_nodes,n_all
1,1.000000e-03,4.6058444684e-02,3.1648486603e-02,5.9995382632e-02,9.5424443734e-03,356,356
2,2.000000e-03,4.6044604454e-02,3.1634646374e-02,5.9981542403e-02,9.5424443734e-03,356,356
3,3.000000e-03,4.6021562193e-02,3.1611604112e-02,5.9958500142e-02,9.5424443734e-03,356,356
4,4.000000e-03,4.5989342741e-02,3.1579384660e-02,5.9926280689e-02,9.5424443734e-03,356,356
5,5.000000e-03,4.5947974934e-02,3.1538016854e-02,5.9884912883e-02,9.5424443734e-03,356,356
6,6.000000e-03,4.5897491586e-02,3.1487533506e-02,5.9834429535e-02,9.5424443734e-03,356,356
7,7.000000e-03,4.5837929464e-02,3.1427971383e-02,5.9774867412e-02,9.5424443734e-03,356,356
8,8.000000e-03,4.5769329266e-02,3.1359371186e-02,5.9706267215e-02,9.5424443734e-03,356,356
9,9.000000e-03,4.5691735602e-02,3.1281777522e-02,5.9628673551e-02,9.5424443734e-03,356,356
10,1.000000e-02,4.5605196963e-02,3.1195238882e-02,5.9542134911e-02,9.5424443734e-03,356,356
11,1.100000e-02,4.5509765693e-02,3.1099807613e-02,5.9446703642e-02,9.5424443734e-03,356,356
12,1.200000e-02,4.5405497964e-02,3.0995539884e-02,5.9342435913e-02,9.5424443734e-03,356,356
13,1.300000e-02,4.5292453744e-02,3.0882495663e-02,5.9229391693e-02,9.5424443734e-03,356,356
14,1.400000e-02,4.5170696760e-02,3.0760738680e-02,5.9107634709e-02,9.5424443734e-03,356,356
15,1.500000e-02,4.5040294471e-02,3.0630336390e-02,5.8977232419e-02,9.5424443734e-03,356,356
16,1.600000e-02,4.4901318026e-02,3.0491359946e-02,5.8838255975e-02,9.5424443734e-03,356,356
17,1.700000e-02,4.4753842232e-02,3.0343884152e-02,5.8690780181e-02,9.5424443734e-03,356,356
18,1.800000e-02,4.4597945513e-02,3.0187987433e-02,5.8534883462e-02,9.5424443734e-03,356,356
19,1.900000e-02,4.4433709868e-02,3.0023751788e-02,5.8370647817e-02,9.5424443734e-03,356,356
20,2.000000e-02,4.4261220832e-02,2.9851262751e-02,5.8198158780e-02,9.5424443734e-03,356,356
21,2.100000e-02,4.4080567431e-02,2.9670609351e-02,5.8017505380e-02,9.5424443734e-03,356,356
22,2.200000e-02,4.3891842139e-02,2.9481884059e-02,5.7828780088e-02,9.5424443734e-03,356,356
23,2.300000e-02,4.3695140831e-02,2.9285182751e-02,5.7632078780e-02,9.5424443734e-03,356,356
24,2.400000e-02,4.3490562734e-02,2.9080604654e-02,5.7427500683e-02,9.5424443734e-03,356,356
25,2.500000e-02,4.3278210380e-02,2.8868252300e-02,5.7215148329e-02,9.5424443734e-03,356,356
26,2.600000e-02,4.3058189555e-02,2.8648231475e-02,5.6995127504e-02,9.5424443734e-03,356,356
27,2.700000e-02,4.2830609247e-02,2.8420651166e-02,5.6767547196e-02,9.5424443734e-03,356,356
28,2.800000e-02,4.2595581592e-02,2.8185623512e-02,5.6532519541e-02,9.5424443734e-03,356,356
29,2.900000e-02,4.2353221823e-02,2.7943263743e-02,5.6290159772e-02,9.5424443734e-03,356,356
30,3.000000e-02,4.2103648211e-02,2.7693690131e-02,5.6040586160e-02,9.5424443734e-03,356,356
31,3.100000e-02,4.1846982010e-02,2.7437023930e-02,5.5783919959e-02,9.5424443734e-03,356,356
32,3.200000e-02,4.1583347396e-02,2.7173389316e-02,5.5520285345e-02,9.5424443734e-03,356,356
33,3.300000e-02,4.1312871414e-02,2.6902913334e-02,5.5249809363e-02,9.5424443734e-03,356,356
34,3.400000e-02,4.1035683910e-02,2.6625725829e-02,5.4972621858e-02,9.5424443734e-03,356,356
35,3.500000e-02,4.0751917474e-02,2.6341959394e-02,5.4688855423e-02,9.5424443734e-03,356,356
36,3.600000e-02,4.0461707378e-02,2.6051749297e-02,5.4398645327e-02,9.5424443734e-03,356,356
37,3.700000e-02,4.0165191508e-02,2.5755233428e-02,5.4102129457e-02,9.5424443734e-03,356,356
38,3.800000e-02,3.9862510304e-02,2.5452552224e-02,5.3799448253e-02,9.5424443734e-03,356,356
39,3.900000e-02,3.9553806691e-02,2.5143848610e-02,5.3490744639e-02,9.5424443734e-03,356,356
40,4.000000e-02,3.9239226012e-02,2.4829267932e-02,5.3176163961e-02,9.5424443734e-03,356,356
41,4.100000e-02,3.8918915964e-02,2.4508957884e-02,5.2855853913e-02,9.5424443734e-03,356,356
42,4.200000e-02,3.8593026524e-02,2.4183068444e-02,5.2529964473e-02,9.5424443734e-03,356,356
43,4.300000e-02,3.8261709885e-02,2.3851751804e-02,5.2198647833e-02,9.5424443734e-03,356,356
44,4.400000e-02,3.7925120379e-02,2.3515162299e-02,5.1862058328e-02,9.5424443734e-03,356,356
45,4.500000e-02,3.7583414413e-02,2.3173456332e-02,5.1520352361e-02,9.5424443734e-03,356,356
46,4.600000e-02,3.7236750390e-02,2.2826792310e-02,5.1173688339e-02,9.5424443734e-03,356,356
47,4.700000e-02,3.6885288643e-02,2.2475330563e-02,5.0822226592e-02,9.5424443734e-03,356,356
48,4.800000e-02,3.6529191355e-02,2.2119233275e-02,5.0466129304e-02,9.5424443734e-03,356,356
49,4.900000e-02,3.6168622489e-02,2.1758664409e-02,5.0105560438e-02,9.5424443734e-03,356,356
50,5.000000e-02,3.5803747711e-02,2.1393789631e-02,4.9740685660e-02,9.5424443734e-03,356,356
51,5.100000e-02,3.5434734317e-02,2.1024776236e-02,4.9371672266e-02,9.5424443734e-03,356,356
52,5.200000e-02,3.5061751152e-02,2.0651793071e-02,4.8998689100e-02,9.5424443734e-03,356,356
53,5.300000e-02,3.4684968538e-02,2.0275010458e-02,4.8621906487e-02,9.5424443734e-03,356,356
54,5.400000e-02,3.4304558196e-02,1.9894600116e-02,4.8241496145e-02,9.5424443735e-03,356,356
55,5.500000e-02,3.3920693166e-02,1.9510735086e-02,4.7857631115e-02,9.5424443735e-03,356,356
56,5.600000e-02,3.3533547730e-02,1.9123589650e-02,4.7470485679e-02,9.5424443735e-03,356,356
57,5.700000e-02,3.3143297335e-02,1.8733339255e-02,4.7080235284e-02,9.5424443735e-03,356,356
58,5.800000e-02,3.2750118510e-02,1.8340160430e-02,4.6687056459e-02,9.5424443735e-03,356,356
59,5.900000e-02,3.2354188792e-02,1.7944230712e-02,4.6291126741e-02,9.5424443735e-03,356,356
60,6.000000e-02,3.1955686642e-02,1.7545728562e-02,4.5892624591e-02,9.5424443735e-03,356,356
61,6.100000e-02,3.1554791366e-02,1.7144833286e-02,4.5491729315e-02,9.5424443735e-03,356,356
62,6.200000e-02,3.1151683038e-02,1.6741724958e-02,4.5088620987e-02,9.5424443735e-03,356,356
63,6.300000e-02,3.0746542415e-02,1.6336584334e-02,4.4683480364e-02,9.5424443735e-03,356,356
64,6.400000e-02,3.0339550858e-02,1.5929592777e-02,4.4276488806e-02,9.5424443735e-03,356,356
65,6.500000e-02,2.9930890253e-02,1.5520932172e-02,4.3867828201e-02,9.5424443735e-03,356,356
66,6.600000e-02,2.9520742928e-02,1.5110784848e-02,4.3457680877e-02,9.5424443735e-03,356,356
67,6.700000e-02,2.9109291576e-02,1.4699333496e-02,4.3046229525e-02,9.5424443735e-03,356,356
68,6.800000e-02,2.8696719167e-02,1.4286761086e-02,4.2633657116e-02,9.5424443735e-03,356,356
69,6.900000e-02,2.8283208873e-02,1.3873250793e-02,4.2220146822e-02,9.5424443735e-03,356,356
70,7.000000e-02,2.7868943988e-02,1.3458985908e-02,4.1805881937e-02,9.5424443735e-03,356,356
71,7.100000e-02,2.7454107840e-02,1.3044149760e-02,4.1391045789e-02,9.5424443735e-03,356,356
72,7.200000e-02,2.7038883720e-02,1.2628925639e-02,4.0975821669e-02,9.5424443735e-03,356,356
73,7.300000e-02,2.6623454792e-02,1.2213496712e-02,4.0560392741e-02,9.5424443735e-03,356,356
74,7.400000e-02,2.6208004020e-02,1.1798045940e-02,4.0144941969e-02,9.5424443735e-03,356,356
75,7.500000e-02,2.5792714085e-02,1.1382756005e-02,3.9729652034e-02,9.5424443735e-03,356,356
76,7.600000e-02,2.5377767304e-02,1.0967809223e-02,3.9314705252e-02,9.5424443735e-03,356,356
77,7.700000e-02,2.4963345552e-02,1.0553387472e-02,3.8900283501e-02,9.5424443735e-03,356,356
78,7.800000e-02,2.4549630184e-02,1.0139672104e-02,3.8486568133e-02,9.5424443735e-03,356,356
79,7.900000e-02,2.4136801952e-02,9.7268438716e-03,3.8073739901e-02,9.5424443735e-03,356,356
80,8.000000e-02,2.3725040931e-02,9.3150828503e-03,3.7661978879e-02,9.5424443735e-03,356,356
81,8.100000e-02,2.3314526437e-02,8.9045683569e-03,3.7251464386e-02,9.5424443735e-03,356,356
82,8.200000e-02,2.2905436954e-02,8.4954788738e-03,3.6842374903e-02,9.5424443735e-03,356,356
83,8.300000e-02,2.2497950052e-02,8.0879919718e-03,3.6434888001e-02,9.5424443735e-03,356,356
84,8.400000e-02,2.2092242313e-02,7.6822842329e-03,3.6029180262e-02,9.5424443735e-03,356,356
85,8.500000e-02,2.1688489255e-02,7.2785311751e-03,3.5625427204e-02,9.5424443735e-03,356,356
86,8.600000e-02,2.1286865256e-02,6.8769071760e-03,3.5223803205e-02,9.5424443735e-03,356,356
87,8.700000e-02,2.0887543479e-02,6.4775853987e-03,3.4824481428e-02,9.5424443735e-03,356,356
88,8.800000e-02,2.0490695797e-02,6.0807377172e-03,3.4427633746e-02,9.5424443735e-03,356,356
89,8.900000e-02,2.0096492723e-02,5.6865346432e-03,3.4033430672e-02,9.5424443735e-03,356,356
90,9.000000e-02,1.9705103333e-02,5.2951452529e-03,3.3642041282e-02,9.5424443735e-03,356,356
91,9.100000e-02,1.9316695196e-02,4.9067371155e-03,3.3253633145e-02,9.5424443735e-03,356,356
92,9.200000e-02,1.8931434301e-02,4.5214762212e-03,3.2868372250e-02,9.5424443735e-03,356,356
93,9.300000e-02,1.8549484992e-02,4.1395269118e-03,3.2486422941e-02,9.5424443735e-03,356,356
94,9.400000e-02,1.8171009890e-02,3.7610518099e-03,3.2107947839e-02,9.5424443735e-03,356,356
95,9.500000e-02,1.7796169831e-02,3.3862117511e-03,3.1733107780e-02,9.5424443735e-03,356,356
96,9.600000e-02,1.7425123796e-02,3.0151657158e-03,3.1362061745e-02,9.5424443735e-03,356,356
97,9.700000e-02,1.7058028842e-02,2.6480707620e-03,3.0994966791e-02,9.5424443735e-03,356,356
98,9.800000e-02,1.6695040040e-02,2.2850819598e-03,3.0631977989e-02,9.5424443735e-03,356,356
99,9.900000e-02,1.6336310406e-02,1.9263523261e-03,3.0273248355e-02,9.5424443735e-03,356,356
100,1.000000e-01,1.5981990841e-02,1.5720327608e-03,2.9918928790e-02,9.5424443735e-03,356,356
101,1.010000e-01,1.5632230064e-02,1.2222719836e-03,2.9569168013e-02,9.5424443735e-03,356,356
102,1.020000e-01,1.5287174553e-02,8.7721647230e-04,2.9224112501e-02,9.5424443735e-03,356,356
103,1.030000e-01,1.4946968482e-02,5.3701040210e-04,2.8883906431e-02,9.5424443735e-03,356,356
104,1.040000e-01,1.4611753666e-02,2.0179558550e-04,2.8548691615e-02,9.5424443735e-03,356,356
105,1.050000e-01,1.4281669494e-02,-1.2828858600e-04,2.8218607443e-02,9.5424443735e-03,356,356
106,1.060000e-01,1.3956852881e-02,-4.5310519910e-04,2.7893790830e-02,9.5424443735e-03,356,356
107,1.070000e-01,1.3637438205e-02,-7.7251987550e-04,2.7574376154e-02,9.5424443735e-03,356,356
108,1.080000e-01,1.3323557254e-02,-1.0864008265e-03,2.7260495203e-02,9.5424443735e-03,356,356
109,1.090000e-01,1.3015339174e-02,-1.3946189067e-03,2.6952277122e-02,9.5424443735e-03,356,356
110,1.100000e-01,1.2712910413e-02,-1.6970476669e-03,2.6649848362e-02,9.5424443735e-03,356,356
111,1.110000e-01,1.2416394675e-02,-1.9935634054e-03,2.6353332624e-02,9.5424443735e-03,356,356
112,1.120000e-01,1.2125912863e-02,-2.2840452175e-03,2.6062850812e-02,9.5424443735e-03,356,356
113,1.130000e-01,1.1841583036e-02,-2.5683750446e-03,2.5778520985e-02,9.5424443735e-03,356,356
114,1.140000e-01,1.1563520359e-02,-2.8464377217e-03,2.5500458307e-02,9.5424443735e-03,356,356
115,1.150000e-01,1.1291837058e-02,-3.1181210227e-03,2.5228775006e-02,9.5424443735e-03,356,356
116,1.160000e-01,1.1026642374e-02,-3.3833157059e-03,2.4963580323e-02,9.5424443735e-03,356,356
117,1.170000e-01,1.0768042524e-02,-3.6419155567e-03,2.4704980472e-02,9.5424443735e-03,356,356
118,1.180000e-01,1.0516140651e-02,-3.8938174296e-03,2.4453078600e-02,9.5424443735e-03,356,356
119,1.190000e-01,1.0271036792e-02,-4.1389212886e-03,2.4207974741e-02,9.5424443735e-03,356,356
120,1.200000e-01,1.0032827834e-02,-4.3771302464e-03,2.3969765783e-02,9.5424443735e-03,356,356
121,1.210000e-01,9.8016074787e-03,-4.6083506016e-03,2.3738545428e-02,9.5424443735e-03,356,356
122,1.220000e-01,9.5774662050e-03,-4.8324918753e-03,2.3514404154e-02,9.5424443735e-03,356,356
123,1.230000e-01,9.3604912352e-03,-5.0494668451e-03,2.3297429184e-02,9.5424443735e-03,356,356
124,1.240000e-01,9.1507665014e-03,-5.2591915789e-03,2.3087704450e-02,9.5424443735e-03,356,356
125,1.250000e-01,8.9483726143e-03,-5.4615854660e-03,2.2885310563e-02,9.5424443735e-03,356,356
126,1.260000e-01,8.7533868327e-03,-5.6565712476e-03,2.2690324782e-02,9.5424443735e-03,356,356
127,1.270000e-01,8.5658830351e-03,-5.8440750452e-03,2.2502820984e-02,9.5424443735e-03,356,356
128,1.280000e-01,8.3859316927e-03,-6.0240263876e-03,2.2322869642e-02,9.5424443735e-03,356,356
129,1.290000e-01,8.2135998434e-03,-6.1963582369e-03,2.2150537792e-02,9.5424443735e-03,356,356
130,1.300000e-01,8.0489510686e-03,-6.3610070117e-03,2.1985889017e-02,9.5424443735e-03,356,356
131,1.310000e-01,7.8920454700e-03,-6.5179126103e-03,2.1828983419e-02,9.5424443735e-03,356,356
132,1.320000e-01,7.7429396491e-03,-6.6670184312e-03,2.1679877598e-02,9.5424443735e-03,356,356
133,1.330000e-01,7.6016866879e-03,-6.8082713923e-03,2.1538624637e-02,9.5424443735e-03,356,356
134,1.340000e-01,7.4683361314e-03,-6.9416219488e-03,2.1405274080e-02,9.5424443735e-03,356,356
135,1.350000e-01,7.3429339709e-03,-7.0670241093e-03,2.1279871920e-02,9.5424443735e-03,356,356
136,1.360000e-01,7.2255226299e-03,-7.1844354503e-03,2.1162460579e-02,9.5424443735e-03,356,356
137,1.370000e-01,7.1161409513e-03,-7.2938171289e-03,2.1053078900e-02,9.5424443735e-03,356,356
138,1.380000e-01,7.0148241854e-03,-7.3951338948e-03,2.0951762134e-02,9.5424443735e-03,356,356
139,1.390000e-01,6.9216039809e-03,-7.4883540993e-03,2.0858541930e-02,9.5424443735e-03,356,356
140,1.400000e-01,6.8365083761e-03,-7.5734497041e-03,2.0773446325e-02,9.5424443735e-03,356,356
141,1.410000e-01,6.7595617929e-03,-7.6503962873e-03,2.0696499742e-02,9.5424443735e-03,356,356
142,1.420000e-01,6.6907850315e-03,-7.7191730487e-03,2.0627722980e-02,9.5424443735e-03,356,356
143,1.430000e-01,6.6301952671e-03,-7.7797628131e-03,2.0567133216e-02,9.5424443735e-03,356,356
144,1.440000e-01,6.5778060480e-03,-7.8321520322e-03,2.0514743997e-02,9.5424443735e-03,356,356
145,1.450000e-01,6.5336272961e-03,-7.8763307841e-03,2.0470565245e-02,9.5424443735e-03,356,356
