frame,t_s,z_mean_m,z_min_m,z_max_m,z_std_m,n_nodes,n_all
1,1.000000e-03,4.8217773175e-02,3.2785598555e-02,5.9995382632e-02,9.3152642132e-03,290,306
2,2.000000e-03,4.8203932946e-02,3.2771758326e-02,5.9981542403e-02,9.3152642132e-03,290,306
3,3.000000e-03,4.8180890684e-02,3.2748716064e-02,5.9958500142e-02,9.3152642132e-03,290,306
4,4.000000e-03,4.8148671232e-02,3.2716496612e-02,5.9926280689e-02,9.3152642132e-03,290,306
5,5.000000e-03,4.8107303426e-02,3.2675128806e-02,5.9884912883e-02,9.3152642132e-03,290,306
6,6.000000e-03,4.8056820078e-02,3.2624645458e-02,5.9834429535e-02,9.3152642132e-03,290,306
7,7.000000e-03,4.7997257955e-02,3.2565083335e-02,5.9774867412e-02,9.3152642132e-03,290,306
8,8.000000e-03,4.7928657757e-02,3.2496483138e-02,5.9706267215e-02,9.3152642132e-03,290,306
9,9.000000e-03,4.7851064094e-02,3.2418889474e-02,5.9628673551e-02,9.3152642131e-03,290,306
10,1.000000e-02,4.7764525454e-02,3.2332350834e-02,5.9542134911e-02,9.3152642131e-03,290,306
11,1.100000e-02,4.7669094184e-02,3.2236919564e-02,5.9446703642e-02,9.3152642131e-03,290,306
12,1.200000e-02,4.7564826456e-02,3.2132651836e-02,5.9342435913e-02,9.3152642131e-03,290,306
13,1.300000e-02,4.7451782235e-02,3.2019607615e-02,5.9229391693e-02,9.3152642131e-03,290,306
14,1.400000e-02,4.7330025251e-02,3.1897850631e-02,5.9107634709e-02,9.3152642131e-03,290,306
15,1.500000e-02,4.7199622962e-02,3.1767448342e-02,5.8977232419e-02,9.3152642131e-03,290,306
16,1.600000e-02,4.7060646517e-02,3.1628471897e-02,5.8838255975e-02,9.3152642131e-03,290,306
17,1.700000e-02,4.6913170723e-02,3.1480996104e-02,5.8690780181e-02,9.3152642131e-03,290,306
18,1.800000e-02,4.6757274004e-02,3.1325099384e-02,5.8534883462e-02,9.3152642130e-03,290,306
19,1.900000e-02,4.6593038359e-02,3.1160863739e-02,5.8370647817e-02,9.3152642130e-03,290,306
20,2.000000e-02,4.6420549322e-02,3.0988374703e-02,5.8198158780e-02,9.3152642130e-03,290,306
21,2.100000e-02,4.6239895922e-02,3.0807721302e-02,5.8017505380e-02,9.3152642130e-03,290,306
22,2.200000e-02,4.6051170630e-02,3.0618996011e-02,5.7828780088e-02,9.3152642130e-03,290,306
23,2.300000e-02,4.5854469322e-02,3.0422294703e-02,5.7632078780e-02,9.3152642130e-03,290,306
24,2.400000e-02,4.5649891225e-02,3.0217716606e-02,5.7427500683e-02,9.3152642129e-03,290,306
25,2.500000e-02,4.5437538871e-02,3.0005364252e-02,5.7215148329e-02,9.3152642129e-03,290,306
26,2.600000e-02,4.5217518046e-02,2.9785343427e-02,5.6995127504e-02,9.3152642129e-03,290,306
27,2.700000e-02,4.4989937737e-02,2.9557763118e-02,5.6767547196e-02,9.3152642129e-03,290,306
28,2.800000e-02,4.4754910083e-02,2.9322735464e-02,5.6532519541e-02,9.3152642129e-03,290,306
29,2.900000e-02,4.4512550314e-02,2.9080375695e-02,5.6290159772e-02,9.3152642128e-03,290,306
30,3.000000e-02,4.4262976702e-02,2.8830802083e-02,5.6040586160e-02,9.3152642128e-03,290,306
31,3.100000e-02,4.4006310500e-02,2.8574135881e-02,5.5783919959e-02,9.3152642128e-03,290,306
32,3.200000e-02,4.3742675887e-02,2.8310501268e-02,5.5520285345e-02,9.3152642128e-03,290,306
33,3.300000e-02,4.3472199904e-02,2.8040025285e-02,5.5249809363e-02,9.3152642127e-03,290,306
34,3.400000e-02,4.3195012400e-02,2.7762837781e-02,5.4972621858e-02,9.3152642127e-03,290,306
35,3.500000e-02,4.2911245964e-02,2.7479071345e-02,5.4688855423e-02,9.3152642127e-03,290,306
36,3.600000e-02,4.2621035868e-02,2.7188861249e-02,5.4398645327e-02,9.3152642127e-03,290,306
37,3.700000e-02,4.2324519998e-02,2.6892345379e-02,5.4102129457e-02,9.3152642126e-03,290,306
38,3.800000e-02,4.2021838794e-02,2.6589664175e-02,5.3799448253e-02,9.3152642126e-03,290,306
39,3.900000e-02,4.1713135180e-02,2.6280960562e-02,5.3490744639e-02,9.3152642126e-03,290,306
40,4.000000e-02,4.1398554502e-02,2.5966379883e-02,5.3176163961e-02,9.3152642126e-03,290,306
41,4.100000e-02,4.1078244453e-02,2.5646069835e-02,5.2855853913e-02,9.3152642125e-03,290,306
42,4.200000e-02,4.0752355014e-02,2.5320180396e-02,5.2529964473e-02,9.3152642125e-03,290,306
43,4.300000e-02,4.0421038374e-02,2.4988863756e-02,5.2198647833e-02,9.3152642125e-03,290,306
44,4.400000e-02,4.0084448868e-02,2.4652274250e-02,5.1862058328e-02,9.3152642124e-03,290,306
45,4.500000e-02,3.9742742902e-02,2.4310568284e-02,5.1520352361e-02,9.3152642124e-03,290,306
46,4.600000e-02,3.9396078879e-02,2.3963904262e-02,5.1173688339e-02,9.3152642124e-03,290,306
47,4.700000e-02,3.9044617132e-02,2.3612442514e-02,5.0822226592e-02,9.3152642123e-03,290,306
48,4.800000e-02,3.8688519844e-02,2.3256345226e-02,5.0466129304e-02,9.3152642123e-03,290,306
49,4.900000e-02,3.8327950978e-02,2.2895776360e-02,5.0105560438e-02,9.3152642123e-03,290,306
50,5.000000e-02,3.7963076200e-02,2.2530901583e-02,4.9740685660e-02,9.3152642122e-03,290,306
51,5.100000e-02,3.7594062805e-02,2.2161888188e-02,4.9371672266e-02,9.3152642122e-03,290,306
52,5.200000e-02,3.7221079640e-02,2.1788905023e-02,4.8998689101e-02,9.3152642122e-03,290,306
53,5.300000e-02,3.6844297027e-02,2.1412122410e-02,4.8621906487e-02,9.3152642121e-03,290,306
54,5.400000e-02,3.6463886685e-02,2.1031712068e-02,4.8241496145e-02,9.3152642121e-03,290,306
55,5.500000e-02,3.6080021654e-02,2.0647847038e-02,4.7857631115e-02,9.3152642121e-03,290,306
56,5.600000e-02,3.5692876218e-02,2.0260701602e-02,4.7470485679e-02,9.3152642120e-03,290,306
57,5.700000e-02,3.5302625823e-02,1.9870451206e-02,4.7080235284e-02,9.3152642120e-03,290,306
58,5.800000e-02,3.4909446998e-02,1.9477272382e-02,4.6687056459e-02,9.3152642120e-03,290,306
59,5.900000e-02,3.4513517280e-02,1.9081342664e-02,4.6291126741e-02,9.3152642119e-03,290,306
60,6.000000e-02,3.4115015130e-02,1.8682840513e-02,4.5892624591e-02,9.3152642119e-03,290,306
61,6.100000e-02,3.3714119854e-02,1.8281945238e-02,4.5491729315e-02,9.3152642119e-03,290,306
62,6.200000e-02,3.3311011526e-02,1.7878836910e-02,4.5088620987e-02,9.3152642118e-03,290,306
63,6.300000e-02,3.2905870902e-02,1.7473696286e-02,4.4683480364e-02,9.3152642118e-03,290,306
64,6.400000e-02,3.2498879345e-02,1.7066704729e-02,4.4276488806e-02,9.3152642118e-03,290,306
65,6.500000e-02,3.2090218740e-02,1.6658044124e-02,4.3867828201e-02,9.3152642117e-03,290,306
66,6.600000e-02,3.1680071415e-02,1.6247896800e-02,4.3457680877e-02,9.3152642117e-03,290,306
67,6.700000e-02,3.1268620063e-02,1.5836445447e-02,4.3046229525e-02,9.3152642116e-03,290,306
68,6.800000e-02,3.0856047653e-02,1.5423873038e-02,4.2633657116e-02,9.3152642116e-03,290,306
69,6.900000e-02,3.0442537360e-02,1.5010362745e-02,4.2220146822e-02,9.3152642116e-03,290,306
70,7.000000e-02,3.0028272474e-02,1.4596097859e-02,4.1805881937e-02,9.3152642115e-03,290,306
71,7.100000e-02,2.9613436327e-02,1.4181261712e-02,4.1391045789e-02,9.3152642115e-03,290,306
72,7.200000e-02,2.9198212206e-02,1.3766037591e-02,4.0975821669e-02,9.3152642115e-03,290,306
73,7.300000e-02,2.8782783278e-02,1.3350608663e-02,4.0560392741e-02,9.3152642114e-03,290,306
74,7.400000e-02,2.8367332506e-02,1.2935157891e-02,4.0144941969e-02,9.3152642114e-03,290,306
75,7.500000e-02,2.7952042571e-02,1.2519867956e-02,3.9729652034e-02,9.3152642113e-03,290,306
76,7.600000e-02,2.7537095790e-02,1.2104921175e-02,3.9314705253e-02,9.3152642113e-03,290,306
77,7.700000e-02,2.7122674038e-02,1.1690499424e-02,3.8900283501e-02,9.3152642113e-03,290,306
78,7.800000e-02,2.6708958669e-02,1.1276784055e-02,3.8486568133e-02,9.3152642112e-03,290,306
79,7.900000e-02,2.6296130437e-02,1.0863955823e-02,3.8073739901e-02,9.3152642112e-03,290,306
80,8.000000e-02,2.5884369416e-02,1.0452194802e-02,3.7661978879e-02,9.3152642112e-03,290,306
81,8.100000e-02,2.5473854923e-02,1.0041680309e-02,3.7251464386e-02,9.3152642111e-03,290,306
82,8.200000e-02,2.5064765439e-02,9.6325908255e-03,3.6842374903e-02,9.3152642111e-03,290,306
83,8.300000e-02,2.4657278537e-02,9.2251039235e-03,3.6434888001e-02,9.3152642110e-03,290,306
84,8.400000e-02,2.4251570798e-02,8.8193961846e-03,3.6029180262e-02,9.3152642110e-03,290,306
85,8.500000e-02,2.3847817740e-02,8.4156431268e-03,3.5625427204e-02,9.3152642110e-03,290,306
86,8.600000e-02,2.3446193741e-02,8.0140191277e-03,3.5223803205e-02,9.3152642109e-03,290,306
87,8.700000e-02,2.3046871964e-02,7.6146973504e-03,3.4824481428e-02,9.3152642109e-03,290,306
88,8.800000e-02,2.2650024282e-02,7.2178496689e-03,3.4427633746e-02,9.3152642109e-03,290,306
89,8.900000e-02,2.2255821208e-02,6.8236465949e-03,3.4033430672e-02,9.3152642108e-03,290,306
90,9.000000e-02,2.1864431818e-02,6.4322572046e-03,3.3642041282e-02,9.3152642108e-03,290,306
91,9.100000e-02,2.1476023680e-02,6.0438490672e-03,3.3253633145e-02,9.3152642108e-03,290,306
92,9.200000e-02,2.1090762786e-02,5.6585881729e-03,3.2868372250e-02,9.3152642107e-03,290,306
93,9.300000e-02,2.0708813476e-02,5.2766388635e-03,3.2486422941e-02,9.3152642107e-03,290,306
94,9.400000e-02,2.0330338374e-02,4.8981637616e-03,3.2107947839e-02,9.3152642106e-03,290,306
95,9.500000e-02,1.9955498315e-02,4.5233237028e-03,3.1733107780e-02,9.3152642106e-03,290,306
96,9.600000e-02,1.9584452280e-02,4.1522776675e-03,3.1362061745e-02,9.3152642106e-03,290,306
97,9.700000e-02,1.9217357326e-02,3.7851827137e-03,3.0994966791e-02,9.3152642105e-03,290,306
98,9.800000e-02,1.8854368524e-02,3.4221939115e-03,3.0631977989e-02,9.3152642105e-03,290,306
99,9.900000e-02,1.8495638890e-02,3.0634642778e-03,3.0273248355e-02,9.3152642105e-03,290,306
100,1.000000e-01,1.8141319324e-02,2.7091447125e-03,2.9918928790e-02,9.3152642104e-03,290,306
101,1.010000e-01,1.7791558547e-02,2.3593839353e-03,2.9569168013e-02,9.3152642104e-03,290,306
102,1.020000e-01,1.7446503036e-02,2.0143284240e-03,2.9224112501e-02,9.3152642104e-03,290,306
103,1.030000e-01,1.7106296966e-02,1.6741223538e-03,2.8883906431e-02,9.3152642104e-03,290,306
104,1.040000e-01,1.6771082149e-02,1.3389075372e-03,2.8548691615e-02,9.3152642103e-03,290,306
105,1.050000e-01,1.6440997977e-02,1.0088233657e-03,2.8218607443e-02,9.3152642103e-03,290,306
106,1.060000e-01,1.6116181364e-02,6.8400675260e-04,2.7893790830e-02,9.3152642103e-03,290,306
107,1.070000e-01,1.5796766688e-02,3.6459207620e-04,2.7574376154e-02,9.3152642102e-03,290,306
108,1.080000e-01,1.5482885736e-02,5.0711125200e-05,2.7260495203e-02,9.3152642102e-03,290,306
109,1.090000e-01,1.5174667656e-02,-2.5750695500e-04,2.6952277122e-02,9.3152642102e-03,290,306
110,1.100000e-01,1.4872238896e-02,-5.5993571520e-04,2.6649848362e-02,9.3152642102e-03,290,306
111,1.110000e-01,1.4575723157e-02,-8.5645145370e-04,2.6353332624e-02,9.3152642101e-03,290,306
112,1.120000e-01,1.4285241345e-02,-1.1469332658e-03,2.6062850812e-02,9.3152642101e-03,290,306
113,1.130000e-01,1.4000911518e-02,-1.4312630929e-03,2.5778520985e-02,9.3152642101e-03,290,306
114,1.140000e-01,1.3722848841e-02,-1.7093257700e-03,2.5500458307e-02,9.3152642100e-03,290,306
115,1.150000e-01,1.3451165540e-02,-1.9810090710e-03,2.5228775006e-02,9.3152642100e-03,290,306
116,1.160000e-01,1.3185970856e-02,-2.2462037542e-03,2.4963580323e-02,9.3152642100e-03,290,306
117,1.170000e-01,1.2927371006e-02,-2.5048036050e-03,2.4704980472e-02,9.3152642100e-03,290,306
118,1.180000e-01,1.2675469133e-02,-2.7567054779e-03,2.4453078600e-02,9.3152642100e-03,290,306
119,1.190000e-01,1.2430365274e-02,-3.0018093369e-03,2.4207974741e-02,9.3152642099e-03,290,306
120,1.200000e-01,1.2192156316e-02,-3.2400182947e-03,2.3969765783e-02,9.3152642099e-03,290,306
121,1.210000e-01,1.1960935960e-02,-3.4712386499e-03,2.3738545428e-02,9.3152642099e-03,290,306
122,1.220000e-01,1.1736794687e-02,-3.6953799236e-03,2.3514404154e-02,9.3152642099e-03,290,306
123,1.230000e-01,1.1519819717e-02,-3.9123548934e-03,2.3297429184e-02,9.3152642098e-03,290,306
124,1.240000e-01,1.1310094983e-02,-4.1220796272e-03,2.3087704450e-02,9.3152642098e-03,290,306
125,1.250000e-01,1.1107701096e-02,-4.3244735143e-03,2.2885310563e-02,9.3152642098e-03,290,306
126,1.260000e-01,1.0912715314e-02,-4.5194592959e-03,2.2690324782e-02,9.3152642098e-03,290,306
127,1.270000e-01,1.0725211517e-02,-4.7069630935e-03,2.2502820984e-02,9.3152642098e-03,290,306
128,1.280000e-01,1.0545260174e-02,-4.8869144359e-03,2.2322869642e-02,9.3152642098e-03,290,306
129,1.290000e-01,1.0372928325e-02,-5.0592462852e-03,2.2150537792e-02,9.3152642097e-03,290,306
130,1.300000e-01,1.0208279550e-02,-5.2238950600e-03,2.1985889017e-02,9.3152642097e-03,290,306
131,1.310000e-01,1.0051373951e-02,-5.3808006586e-03,2.1828983419e-02,9.3152642097e-03,290,306
132,1.320000e-01,9.9022681303e-03,-5.5299064795e-03,2.1679877598e-02,9.3152642097e-03,290,306
133,1.330000e-01,9.7610151692e-03,-5.6711594406e-03,2.1538624637e-02,9.3152642097e-03,290,306
134,1.340000e-01,9.6276646127e-03,-5.8045099971e-03,2.1405274080e-02,9.3152642097e-03,290,306
135,1.350000e-01,9.5022624521e-03,-5.9299121576e-03,2.1279871920e-02,9.3152642097e-03,290,306
136,1.360000e-01,9.3848511111e-03,-6.0473234986e-03,2.1162460579e-02,9.3152642097e-03,290,306
137,1.370000e-01,9.2754694325e-03,-6.1567051772e-03,2.1053078900e-02,9.3152642096e-03,290,306
138,1.380000e-01,9.1741526665e-03,-6.2580219431e-03,2.0951762134e-02,9.3152642096e-03,290,306
139,1.390000e-01,9.0809324620e-03,-6.3512421476e-03,2.0858541930e-02,9.3152642096e-03,290,306
140,1.400000e-01,8.9958368572e-03,-6.4363377524e-03,2.0773446325e-02,9.3152642096e-03,290,306
141,1.410000e-01,8.9188902740e-03,-6.5132843356e-03,2.0696499742e-02,9.3152642096e-03,290,306
142,1.420000e-01,8.8501135126e-03,-6.5820610970e-03,2.0627722980e-02,9.3152642096e-03,290,306
143,1.430000e-01,8.7895237481e-03,-6.6426508614e-03,2.0567133216e-02,9.3152642096e-03,290,306
144,1.440000e-01,8.7371345290e-03,-6.6950400805e-03,2.0514743997e-02,9.3152642096e-03,290,306
145,1.450000e-01,8.6929557771e-03,-6.7392188324e-03,2.0470565245e-02,9.3152642096e-03,290,306
146,1.460000e-01,8.6569937883e-03,-6.7751808212e-03,2.0434603256e-02,9.3152642096e-03,290,306
147,1.470000e-01,8.6292512364e-03,-6.8029233731e-03,2.0406860704e-02,9.3152642096e-03,290,306
148,1.480000e-01,8.6097271774e-03,-6.8224474321e-03,2.0387336645e-02,9.3152642096e-03,290,306
149,1.490000e-01,8.5984170556e-03,-6.8337575539e-03,2.0376026524e-02,9.3152642096e-03,290,306
150,1.500000e-01,8.5953127115e-03,-6.8368618980e-03,2.0372922179e-02,9.3152642096e-03,290,306
151,1.510000e-01,8.6004023911e-03,-6.8317722184e-03,2.0378011859e-02,9.3152642096e-03,290,306
152,1.520000e-01,8.6136707569e-03,-6.8185038526e-03,2.0391280225e-02,9.3152642096e-03,290,306
153,1.530000e-01,8.6350989002e-03,-6.7970757093e-03,2.0412708368e-02,9.3152642096e-03,290,306
154,1.540000e-01,8.6646643553e-03,-6.7675102542e-03,2.0442273823e-02,9.3152642096e-03,290,306
155,1.550000e-01,8.7023411150e-03,-6.7298334945e-03,2.0479950583e-02,9.3152642096e-03,290,306
156,1.560000e-01,8.7480996478e-03,-6.6840749617e-03,2.0525709116e-02,9.3152642096e-03,290,306
157,1.570000e-01,8.8019069161e-03,-6.6302676934e-03,2.0579516384e-02,9.3152642096e-03,290,306
158,1.580000e-01,8.8637263971e-03,-6.5684482125e-03,2.0641335865e-02,9.3152642096e-03,290,306
159,1.590000e-01,8.9335181033e-03,-6.4986565063e-03,2.0711127571e-02,9.3152642096e-03,290,306
160,1.600000e-01,9.0112386069e-03,-6.4209360027e-03,2.0788848075e-02,9.3152642096e-03,290,306
161,1.610000e-01,9.0968410635e-03,-6.3353335461e-03,2.0874450531e-02,9.3152642096e-03,290,306
162,1.620000e-01,9.1902752384e-03,-6.2418993712e-03,2.0967884706e-02,9.3152642096e-03,290,306
163,1.630000e-01,9.2914875344e-03,-6.1406870753e-03,2.1069097002e-02,9.3152642096e-03,290,306
164,1.640000e-01,9.4004210201e-03,-6.0317535896e-03,2.1178030488e-02,9.3152642097e-03,290,306
165,1.650000e-01,9.5170154609e-03,-5.9151591488e-03,2.1294624929e-02,9.3152642097e-03,290,306
166,1.660000e-01,9.6412073505e-03,-5.7909672593e-03,2.1418816818e-02,9.3152642097e-03,290,306
167,1.670000e-01,9.7729299437e-03,-5.6592446661e-03,2.1550539411e-02,9.3152642097e-03,290,306
168,1.680000e-01,9.9121132918e-03,-5.5200613180e-03,2.1689722759e-02,9.3152642097e-03,290,306
169,1.690000e-01,1.0058684278e-02,-5.3734903323e-03,2.1836293745e-02,9.3152642097e-03,290,306
170,1.700000e-01,1.0212566653e-02,-5.2196079570e-03,2.1990176120e-02,9.3152642097e-03,290,306
171,1.710000e-01,1.0373681077e-02,-5.0584935326e-03,2.2151290545e-02,9.3152642097e-03,290,306
172,1.720000e-01,1.0541945158e-02,-4.8902294522e-03,2.2319554625e-02,9.3152642098e-03,290,306
173,1.730000e-01,1.0717273490e-02,-4.7149011203e-03,2.2494882957e-02,9.3152642098e-03,290,306
174,1.740000e-01,1.0899577699e-02,-4.5325969108e-03,2.2677187167e-02,9.3152642098e-03,290,306
175,1.750000e-01,1.1088766487e-02,-4.3434081228e-03,2.2866375955e-02,9.3152642098e-03,290,306
176,1.760000e-01,1.1284745674e-02,-4.1474289363e-03,2.3062355141e-02,9.3152642098e-03,290,306
177,1.770000e-01,1.1487418244e-02,-3.9447563661e-03,2.3265027711e-02,9.3152642098e-03,290,306
178,1.780000e-01,1.1696684396e-02,-3.7354902143e-03,2.3474293863e-02,9.3152642099e-03,290,306
179,1.790000e-01,1.1912441588e-02,-3.5197330223e-03,2.3690051055e-02,9.3152642099e-03,290,306
180,1.800000e-01,1.2134584589e-02,-3.2975900213e-03,2.3912194056e-02,9.3152642099e-03,290,306
181,1.810000e-01,1.2363005529e-02,-3.0691690816e-03,2.4140614996e-02,9.3152642099e-03,290,306
182,1.820000e-01,1.2597593950e-02,-2.8345806610e-03,2.4375203416e-02,9.3152642099e-03,290,306
183,1.830000e-01,1.2838236858e-02,-2.5939377523e-03,2.4615846325e-02,9.3152642100e-03,290,306
184,1.840000e-01,1.3084818782e-02,-2.3473558291e-03,2.4862428248e-02,9.3152642100e-03,290,306
185,1.850000e-01,1.3337221819e-02,-2.0949527916e-03,2.5114831286e-02,9.3152642100e-03,290,306
186,1.860000e-01,1.3595325700e-02,-1.8368489107e-03,2.5372935167e-02,9.3152642100e-03,290,306
187,1.870000e-01,1.3859007840e-02,-1.5731667710e-03,2.5636617306e-02,9.3152642101e-03,290,306
188,1.880000e-01,1.4128143397e-02,-1.3040312140e-03,2.5905752863e-02,9.3152642101e-03,290,306
189,1.890000e-01,1.4402605333e-02,-1.0295692785e-03,2.6180214799e-02,9.3152642101e-03,290,306
190,1.900000e-01,1.4682264469e-02,-7.4991014240e-04,2.6459873935e-02,9.3152642101e-03,290,306
191,1.910000e-01,1.4966989550e-02,-4.6518506150e-04,2.6744599016e-02,9.3152642102e-03,290,306
192,1.920000e-01,1.5256647302e-02,-1.7552730930e-04,2.7034256768e-02,9.3152642102e-03,290,306
193,1.930000e-01,1.5551102497e-02,1.1892788560e-04,2.7328711963e-02,9.3152642102e-03,290,306
194,1.940000e-01,1.5850218013e-02,4.1804340130e-04,2.7627827479e-02,9.3152642102e-03,290,306
195,1.950000e-01,1.6153854898e-02,7.2168028650e-04,2.7931464364e-02,9.3152642103e-03,290,306
196,1.960000e-01,1.6461872436e-02,1.0296978245e-03,2.8239481902e-02,9.3152642103e-03,290,306
197,1.970000e-01,1.6774128209e-02,1.3419535972e-03,2.8551737675e-02,9.3152642103e-03,290,306
198,1.980000e-01,1.7090478163e-02,1.6583035513e-03,2.8868087629e-02,9.3152642104e-03,290,306
199,1.990000e-01,1.7410776676e-02,1.9786020638e-03,2.9188386141e-02,9.3152642104e-03,290,306
200,2.000000e-01,1.7734876620e-02,2.3027020085e-03,2.9512486086e-02,9.3152642104e-03,290,306
201,2.010000e-01,1.8062629435e-02,2.6304548233e-03,2.9840238901e-02,9.3152642104e-03,290,306
202,2.020000e-01,1.8393885190e-02,2.9617105776e-03,3.0171494655e-02,9.3152642105e-03,290,306
203,2.030000e-01,1.8728492653e-02,3.2963180406e-03,3.0506102118e-02,9.3152642105e-03,290,306
204,2.040000e-01,1.9066299362e-02,3.6341247495e-03,3.0843908827e-02,9.3152642105e-03,290,306
205,2.050000e-01,1.9407151691e-02,3.9749770791e-03,3.1184761157e-02,9.3152642106e-03,290,306
206,2.060000e-01,1.9750894923e-02,4.3187203106e-03,3.1528504388e-02,9.3152642106e-03,290,306
207,2.070000e-01,2.0097373314e-02,4.6651987018e-03,3.1874982779e-02,9.3152642106e-03,290,306
208,2.080000e-01,2.0446430170e-02,5.0142555569e-03,3.2224039634e-02,9.3152642107e-03,290,306
209,2.090000e-01,2.0797907910e-02,5.3657332970e-03,3.2575517374e-02,9.3152642107e-03,290,306
210,2.100000e-01,2.1151648144e-02,5.7194735310e-03,3.2929257608e-02,9.3152642107e-03,290,306
211,2.110000e-01,2.1507491739e-02,6.0753171262e-03,3.3285101204e-02,9.3152642108e-03,290,306
212,2.120000e-01,2.1865278893e-02,6.4331042796e-03,3.3642888357e-02,9.3152642108e-03,290,306
213,2.130000e-01,2.2224849202e-02,6.7926745894e-03,3.4002458667e-02,9.3152642108e-03,290,306
214,2.140000e-01,2.2586041739e-02,7.1538671261e-03,3.4363651204e-02,9.3152642109e-03,290,306
215,2.150000e-01,2.2948695118e-02,7.5165205044e-03,3.4726304582e-02,9.3152642109e-03,290,306
216,2.160000e-01,2.3312647568e-02,7.8804729549e-03,3.5090257032e-02,9.3152642109e-03,290,306
217,2.170000e-01,2.3677737009e-02,8.2455623954e-03,3.5455346473e-02,9.3152642110e-03,290,306
218,2.180000e-01,2.4043801117e-02,8.6116265032e-03,3.5821410581e-02,9.3152642110e-03,290,306
219,2.190000e-01,2.4410677400e-02,8.9785027866e-03,3.6188286864e-02,9.3152642110e-03,290,306
220,2.200000e-01,2.4778203270e-02,9.3460286566e-03,3.6555812734e-02,9.3152642111e-03,290,306
221,2.210000e-01,2.5146216112e-02,9.7140414984e-03,3.6923825576e-02,9.3152642111e-03,290,306
222,2.220000e-01,2.5514553357e-02,1.0082378743e-02,3.7292162821e-02,9.3152642111e-03,290,306
223,2.230000e-01,2.5883052554e-02,1.0450877940e-02,3.7660662017e-02,9.3152642112e-03,290,306
224,2.240000e-01,2.6251551439e-02,1.0819376825e-02,3.8029160903e-02,9.3152642112e-03,290,306
225,2.250000e-01,2.6619888010e-02,1.1187713396e-02,3.8397497473e-02,9.3152642112e-03,290,306
226,2.260000e-01,2.6987900593e-02,1.1555725978e-02,3.8765510056e-02,9.3152642113e-03,290,306
227,2.270000e-01,2.7355427915e-02,1.1923253301e-02,3.9133037378e-02,9.3152642113e-03,290,306
228,2.280000e-01,2.7722309177e-02,1.2290134562e-02,3.9499918640e-02,9.3152642113e-03,290,306
229,2.290000e-01,2.8088384117e-02,1.2656209503e-02,3.9865993580e-02,9.3152642114e-03,290,306
230,2.300000e-01,2.8453493088e-02,1.3021318473e-02,4.0231102551e-02,9.3152642114e-03,290,306
231,2.310000e-01,2.8817477119e-02,1.3385302504e-02,4.0595086582e-02,9.3152642114e-03,290,306
232,2.320000e-01,2.9180177990e-02,1.3748003375e-02,4.0957787453e-02,9.3152642115e-03,290,306
233,2.330000e-01,2.9541438298e-02,1.4109263683e-02,4.1319047760e-02,9.3152642115e-03,290,306
234,2.340000e-01,2.9901101523e-02,1.4468926908e-02,4.1678710986e-02,9.3152642115e-03,290,306
235,2.350000e-01,3.0259012101e-02,1.4826837485e-02,4.2036621563e-02,9.3152642115e-03,290,306
236,2.360000e-01,3.0615015483e-02,1.5182840867e-02,4.2392624945e-02,9.3152642116e-03,290,306
237,2.370000e-01,3.0968958208e-02,1.5536783593e-02,4.2746567670e-02,9.3152642116e-03,290,306
238,2.380000e-01,3.1320687966e-02,1.5888513351e-02,4.3098297428e-02,9.3152642116e-03,290,306
239,2.390000e-01,3.1670053664e-02,1.6237879049e-02,4.3447663126e-02,9.3152642117e-03,290,306
240,2.400000e-01,3.2016905488e-02,1.6584730873e-02,4.3794514950e-02,9.3152642117e-03,290,306
241,2.410000e-01,3.2361094971e-02,1.6928920355e-02,4.4138704433e-02,9.3152642117e-03,290,306
242,2.420000e-01,3.2702475052e-02,1.7270300436e-02,4.4480084513e-02,9.3152642118e-03,290,306
243,2.430000e-01,3.3040900140e-02,1.7608725524e-02,4.4818509601e-02,9.3152642118e-03,290,306
244,2.440000e-01,3.3376226177e-02,1.7944051561e-02,4.5153835639e-02,9.3152642118e-03,290,306
245,2.450000e-01,3.3708310699e-02,1.8276136083e-02,4.5485920160e-02,9.3152642119e-03,290,306
246,2.460000e-01,3.4037012891e-02,1.8604838275e-02,4.5814622353e-02,9.3152642119e-03,290,306
247,2.470000e-01,3.4362193655e-02,1.8930019038e-02,4.6139803116e-02,9.3152642119e-03,290,306
248,2.480000e-01,3.4683715658e-02,1.9251541042e-02,4.6461325119e-02,9.3152642119e-03,290,306
249,2.490000e-01,3.5001443400e-02,1.9569268783e-02,4.6779052861e-02,9.3152642120e-03,290,306
