time_s z_m[FEM] v_m_per_s[FEM-diff] a_m_per_s2[FEM-diff] i_coil_A[FEM] emf_V[FEM]
1.000000e-03 4.821777e-02 -1.384023e-02 -4.601016e+00 0.000000e+00 0.000000e+00
2.000000e-03 4.820393e-02 -1.844125e-02 -6.895314e+00 0.000000e+00 0.000000e+00
3.000000e-03 4.818089e-02 -2.763086e-02 -9.176192e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.814867e-02 -3.679363e-02 -9.147360e+00 0.000000e+00 0.000000e+00
5.000000e-03 4.810730e-02 -4.592558e-02 -9.114553e+00 0.000000e+00 0.000000e+00
6.000000e-03 4.805682e-02 -5.502274e-02 -9.077792e+00 0.000000e+00 0.000000e+00
7.000000e-03 4.799726e-02 -6.408116e-02 -9.037097e+00 0.000000e+00 0.000000e+00
8.000000e-03 4.792866e-02 -7.309693e-02 -8.992495e+00 0.000000e+00 0.000000e+00
9.000000e-03 4.785106e-02 -8.206615e-02 -8.944012e+00 0.000000e+00 0.000000e+00
1.000000e-02 4.776453e-02 -9.098495e-02 -8.891674e+00 0.000000e+00 0.000000e+00
1.100000e-02 4.766909e-02 -9.984950e-02 -8.835510e+00 0.000000e+00 0.000000e+00
1.200000e-02 4.756483e-02 -1.086560e-01 -8.775552e+00 0.000000e+00 0.000000e+00
1.300000e-02 4.745178e-02 -1.174006e-01 -8.711831e+00 0.000000e+00 0.000000e+00
1.400000e-02 4.733003e-02 -1.260796e-01 -8.644382e+00 0.000000e+00 0.000000e+00
1.500000e-02 4.719962e-02 -1.346894e-01 -8.573242e+00 0.000000e+00 0.000000e+00
1.600000e-02 4.706065e-02 -1.432261e-01 -8.498445e+00 0.000000e+00 0.000000e+00
1.700000e-02 4.691317e-02 -1.516863e-01 -8.420031e+00 0.000000e+00 0.000000e+00
1.800000e-02 4.675727e-02 -1.600662e-01 -8.338042e+00 0.000000e+00 0.000000e+00
1.900000e-02 4.659304e-02 -1.683623e-01 -8.252518e+00 0.000000e+00 0.000000e+00
2.000000e-02 4.642055e-02 -1.765712e-01 -8.163503e+00 0.000000e+00 0.000000e+00
